rstar_rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
90	primary::ATM+KRAS	primary	ATM+KRAS	2	146	0.0053779283925151	0.0039692097714376	2	0.0039692097714376	0.0	primary::KRAS	0.0594840582028543	0.0032012011578889	rule_a_one_step	True	True	True	stable	True	1.3549116073077567	1.6541876027217373	0.7261228609712269	True	relative_bottleneck	1.4831271198803306	1.240500225785943	1.7514453389249165	0.0	0.0	500
91	primary::CDKN2A+EGFR	primary	CDKN2A+EGFR	2	27	0.0009945484013555	0.0007355075823521	2	0.0007355075823521	0.0	primary::EGFR	0.0103779094304799	0.0004938949088028	rule_a_one_step	True	True	True	stable	True	1.3521932660744749	1.650868828018052	0.7232254935486482	True	relative_bottleneck	1.454978642588077	0.8862854865940772	2.1556194933162125	0.0	0.0	500
92	metastatic::KEAP1+SMARCA4+STK11	metastatic	KEAP1+SMARCA4+STK11	3	10	0.0003683512597613	0.0002730234370103	3	0.0002730234370103	0.0	metastatic::KEAP1+STK11	0.1763188213912271	0.0001818523279414	rule_a_one_step	True	True	True	stable	True	1.3491561839735082	1.6471609082299492	0.7199814962702609	True	relative_bottleneck	1.492316903021818	0.6039829603684127	2.98733292502157	0.0	0.01	500
93	primary::ARID1A+MET	primary	ARID1A+MET	2	7	0.0002578458818329	0.0001920787246429	2	0.0001920787246429	0.0	primary::MET	0.0179074904682374	0.0001470963008109	rule_a_one_step	True	True	True	stable	True	1.3423968790390075	1.638908592458676	0.7127353926411486	False	relative_bottleneck	1.4680813224377447	0.6311482936545126	2.680763122943814	0.0	0.002	500
94	primary::ARID1A+KRAS+PIK3CA	primary	ARID1A+KRAS+PIK3CA	3	6	0.0002210107558567	0.0001647949213559	2	0.0001647949213559	0.0	primary::KRAS+PIK3CA	0.0416493909615568	0.000104322918277	rule_a_one_step	True	True	True	stable	True	1.341126004959197	1.6373570047860162	0.7113689173406831	False	relative_bottleneck	1.4273838847897424	0.4645557517049286	2.8945226947925846	0.0	0.0	500
95	metastatic::ATM+KRAS+SETD2+TP53	metastatic	ATM+KRAS+SETD2+TP53	4	6	0.0002210107558567	0.0001651130602146	4	0.0001651130602146	0.0	metastatic::KRAS+SETD2+TP53	0.123459817384364	7.276252682149052e-05	rule_a_one_step	True	True	True	stable	True	1.3385419313946971	1.6342021551029358	0.7085864596922437	False	relative_bottleneck	1.4826943038937497	0.3789305871173313	2.986889606456181	0.0	0.002	500
96	metastatic::KEAP1+KRAS+STK11	metastatic	KEAP1+KRAS+STK11	3	89	0.0032783262118756	0.0024642890875366	3	0.0024642890875366	0.0	metastatic::KRAS+STK11	0.5188137902741108	0.0018155042756755	rule_a_one_step	True	True	True	stable	True	1.3303334528102937	1.624180568869345	0.6997120335889092	True	relative_bottleneck	1.4512525929363655	1.091114850192972	1.908189102057383	0.0	0.0	500
97	primary::PIK3CA+SMARCA4+TP53	primary	PIK3CA+SMARCA4+TP53	3	5	0.0001841756298806	0.0001384946144318	2	0.0001384946144318	0.0	primary::PIK3CA+TP53	0.0496347484949809	7.861699518506639e-05	rule_a_one_step	True	True	True	stable	True	1.3298396425475123	1.6235776846587562	0.6991764160934307	False	relative_bottleneck	1.450294304133645	0.3253859451639927	3.084379921781152	0.0	0.008	500
98	metastatic::EGFR+RBM10	metastatic	EGFR+RBM10	2	47	0.0017312509208781	0.0013351413379994	2	0.0013351413379994	0.0	metastatic::EGFR	0.0480342024978448	0.0011642296023125	rule_a_one_step	True	True	True	stable	True	1.2966798872211571	1.5830935262278338	0.662746489738713	True	relative_bottleneck	1.4014169676313508	1.0081837496956785	1.9121995103147376	0.0	0.0	500
99	primary::EGFR+PIK3CA	primary	EGFR+PIK3CA	2	87	0.0032046559599233	0.0024747015939864	2	0.0024747015939864	0.0	primary::EGFR	0.0364295139682962	0.0017337163712626	rule_a_one_step	True	True	True	stable	True	1.2949666199818848	1.5810018285760696	0.660839036308619	True	relative_bottleneck	1.397606032898157	1.0930919020774996	1.7430776972844186	0.0	0.0	500
