state	N_v	L_v	F_hat	R_star	eligible_relobstq	variant
unknown::EGFR+NF1+TP53	3	0.0001105053779283	0.0005717850245513516	0.23595241954117163	False	full_mhn
primary::KRAS+NF1+RBM10	12	0.0004420215117135	0.0005692919888072478	0.9479427966799472	True	full_mhn
primary::CDKN2A+MET+TP53	8	0.000294681007809	0.0005652850778643579	0.6364414005402124	True	full_mhn
unknown::NF1+TP53	12	0.0004420215117135	0.0005652805097835886	0.9546698155174429	True	full_mhn
primary::BRAF+KRAS+STK11	8	0.000294681007809	0.0005599581110160217	0.6424959645671182	True	full_mhn
metastatic::BRAF+EGFR	7	0.0002578458818329	0.0005584966297960624	0.5636550992906217	True	full_mhn
primary::CDKN2A+NF1+TP53	12	0.0004420215117135	0.0005583272948940826	0.9665589429604922	True	full_mhn
primary::KEAP1+NF1+TP53	16	0.000589362015618	0.0005582524642553066	1.2889180064162609	True	full_mhn
unknown::ARID1A+EGFR+TP53	6	0.0002210107558567	0.0005533377420316785	0.48763729543238227	True	full_mhn
metastatic::SMARCA4+STK11+TP53	15	0.0005525268896419	0.0005532912354904669	1.2191957086841938	True	full_mhn
primary::CDKN2A+KEAP1+KRAS+STK11	4	0.0001473405039045	0.0005494730154417532	0.32737806637594347	False	full_mhn
primary::SMARCA4+STK11+TP53	13	0.0004788566376897	0.0005487188638531286	1.065441033295007	True	full_mhn
metastatic::SMARCA4	13	0.0004788566376897	0.000546340130183091	1.0700799025903127	True	full_mhn
primary::ARID1A+NF1+TP53	14	0.0005156917636658	0.0005459640495554512	1.1531875535195497	True	full_mhn
primary::KEAP1+KRAS+RBM10	7	0.0002578458818329	0.0005439375222757125	0.5787419701973123	True	full_mhn
primary::CDKN2A+STK11+TP53	5	0.0001841756298806	0.000543607140535616	0.4136383610144497	True	full_mhn
metastatic::CDKN2A+KRAS+STK11+TP53	4	0.0001473405039045	0.000542157020518837	0.3317957833406168	False	full_mhn
metastatic::KRAS+NF1	13	0.0004788566376897	0.0005418742298760876	1.078899052668311	True	full_mhn
metastatic::ARID1A+NF1+TP53	12	0.0004420215117135	0.0005404099769852196	0.9986052495872575	True	full_mhn
primary::KRAS+NF1+RBM10+TP53	5	0.0001841756298806	0.0005347090265103837	0.4205217333013433	True	full_mhn
metastatic::CDKN2A+NF1+TP53	7	0.0002578458818329	0.0005310609867609177	0.5927746174918693	True	full_mhn
primary::ATM+KRAS+RBM10+TP53	9	0.0003315161337851	0.0005264568852848118	0.7688040393302706	True	full_mhn
primary::MET+STK11	5	0.0001841756298806	0.0005249400914526767	0.42834748249070537	True	full_mhn
primary::KEAP1+KRAS+SMARCA4+TP53	2	7.367025195226167e-05	0.000523080561566561	0.17194809606942388	False	full_mhn
primary::CDKN2A+KRAS+RBM10+TP53	6	0.0002210107558567	0.000522949995121312	0.515973080550578	True	full_mhn
